materials property curl diameter pitch
sample1 0.533018156 8.37758041 20 60
sample2 0.765057235 5.385587406 20 70
sample3 0.66849198 7.180783208 20 70
sample4 0.745927049 5.385587406 23 70
sample5 0.693973232 6.283185307 23 70
sample6 1.123038603 3.926990817 20 80
sample7 0.644872058 7.068583471 20 80
sample8 0.895129135 4.71238898 20 80
sample9 0.87208957 5.497787144 20 80
sample10 0.804068843 5.497787144 23 80
sample11 0.775714476 6.283185307 23 80
sample12 0.686394558 7.068583471 23 80
sample13 0.814752458 4.71238898 26 80
sample14 0.660163861 7.068583471 26 80
sample15 0.890386848 5.497787144 26 80
sample16 1.117630319 3.490658504 20 90
sample17 0.930332274 4.188790205 20 90
sample18 0.978081426 4.188790205 20 90
sample19 0.974490399 4.886921906 20 90
sample20 0.907080302 4.886921906 23 90
sample21 0.987730892 4.886921906 23 90
sample22 0.933378913 4.188790205 26 90
sample23 0.902807003 4.886921906 26 90
sample24 0.981264462 4.188790205 26 90
sample25 0.997154606 4.886921906 26 90
sample26 0.933741886 5.585053606 26 90
sample27 0.822388633 6.283185307 26 90
sample28 0.994400423 4.886921906 29 90
sample29 1.058331164 3.141592654 20 100
sample30 0.954375642 3.769911184 20 100
sample31 0.994021287 4.398229715 20 100
sample32 1.111249766 3.141592654 20 100
sample33 0.840558981 5.654866776 20 100
sample34 0.955706515 4.398229715 23 100
sample35 0.799984432 5.654866776 23 100
sample36 1.011915204 4.398229715 23 100
sample37 1.166193745 3.141592654 23 100
sample38 0.833598585 5.654866776 26 100
sample39 1.033415076 3.769911184 26 100
sample40 0.992274104 4.398229715 26 100
sample41 0.971431564 5.026548246 26 100
sample42 0.860743047 5.654866776 26 100
sample43 0.935952822 5.654866776 26 100
sample44 0.825007349 5.654866776 29 100
sample45 0.866604181 5.654866776 29 100
sample46 1.04607909 5.026548246 29 100
sample47 0.901157169 4.398229715 32 100
sample48 0.825693294 5.654866776 32 100
sample49 1.026581306 3.427191986 20 110
sample50 1.065672895 3.427191986 20 110
sample51 1.097754042 3.99839065 20 110
sample52 1.017595671 4.569589314 20 110
sample53 0.953727288 5.140787979 23 110
sample54 1.082797442 3.427191986 26 110
sample55 0.941254312 5.140787979 26 110
sample56 1.142203276 3.427191986 26 110
sample57 0.949469312 5.140787979 29 110
sample58 1.13167611 3.99839065 29 110
sample59 1.132038739 3.99839065 32 110
sample60 1.124946498 4.569589314 35 110
sample61 1.07383783 3.141592654 20 120
sample62 1.215438767 2.617993878 20 120
sample63 1.23850122 2.617993878 20 120
sample64 1.175085314 3.141592654 20 120
sample65 1.176600873 2.617993878 23 120
sample66 1.16215325 3.141592654 23 120
sample67 1.144471643 3.665191429 23 120
sample68 1.210064411 3.141592654 23 120
sample69 1.150448585 3.141592654 26 120
sample70 1.183161542 3.141592654 26 120
sample71 1.154692047 3.665191429 26 120
sample72 1.198415083 3.141592654 26 120
sample73 1.199862232 4.188790205 26 120
sample74 1.157553123 3.665191429 29 120
sample75 1.074349053 4.71238898 29 120
sample76 1.201215953 3.665191429 29 120
sample77 1.071881661 4.188790205 35 120
sample78 1.052991973 4.71238898 35 120
sample79 1.121494245 4.71238898 35 120
sample80 1.161381516 4.188790205 38 120
sample81 1.261100078 2.416609734 20 130
sample82 1.029103684 4.34989752 20 130
sample83 1.271803459 2.416609734 23 130
sample84 1.228426257 2.89993168 23 130
sample85 1.220446402 3.866575574 23 130
sample86 1.294854271 2.416609734 23 130
sample87 1.235963879 2.89993168 23 130
sample88 1.154101557 3.383253627 26 130
sample89 1.17319894 3.866575574 26 130
sample90 1.138563491 4.34989752 26 130
sample91 1.255388027 3.866575574 26 130
sample92 1.15979705 4.34989752 26 130
sample93 1.142003735 3.866575574 29 130
sample94 1.190420141 3.383253627 29 130
sample95 1.206571952 3.866575574 29 130
sample96 1.137497746 3.866575574 32 130
sample97 1.173098699 4.34989752 32 130
sample98 1.248321018 3.866575574 32 130
sample99 1.128982925 4.34989752 35 130
sample100 1.170611891 4.34989752 35 130
sample101 1.112717795 3.866575574 38 130
sample102 1.139969414 4.34989752 38 130
sample103 1.28718865 2.243994753 20 140
sample104 1.068982026 4.039190555 20 140
sample105 1.133411985 4.039190555 23 140
sample106 1.267757798 2.692793703 23 140
sample107 1.229972086 4.039190555 29 140
sample108 1.186147186 4.039190555 32 140
sample109 1.236144088 3.590391604 35 140
sample110 1.226436247 3.590391604 38 140
sample111 1.180095923 4.039190555 41 140
sample112 1.209179578 4.039190555 41 140
sample113 1.277910168 2.094395102 20 150
sample114 1.261313025 2.932153143 20 150
sample115 1.313990836 2.094395102 20 150
sample116 1.253258462 2.513274123 20 150
sample117 1.318586076 2.932153143 20 150
sample118 1.265138072 3.351032164 20 150
sample119 1.131022211 3.769911184 20 150
sample120 1.293577982 2.094395102 23 150
sample121 1.282379401 2.513274123 23 150
sample122 1.246500173 2.932153143 23 150
sample123 1.288522647 3.351032164 23 150
sample124 1.199614068 3.769911184 23 150
sample125 1.340287634 2.094395102 23 150
sample126 1.304671229 2.513274123 23 150
sample127 1.306825712 2.513274123 26 150
sample128 1.248603488 2.932153143 26 150
sample129 1.278199752 3.351032164 26 150
sample130 1.249384501 3.769911184 26 150
sample131 1.323635863 2.513274123 26 150
sample132 1.319588715 3.351032164 26 150
sample133 1.258877043 3.769911184 26 150
sample134 1.247163425 2.932153143 29 150
sample135 1.251040859 3.351032164 29 150
sample136 1.257726646 3.769911184 29 150
sample137 1.276734016 2.932153143 29 150
sample138 1.296671171 3.351032164 29 150
sample139 1.279163675 3.769911184 29 150
sample140 1.250650922 2.932153143 32 150
sample141 1.243627711 3.351032164 32 150
sample142 1.243441192 3.769911184 32 150
sample143 1.279494578 2.932153143 32 150
sample144 1.273794446 3.769911184 32 150
sample145 1.22398333 3.351032164 35 150
sample146 1.278853304 3.351032164 35 150
sample147 1.264029673 3.769911184 35 150
sample148 1.237773687 3.769911184 38 150
sample149 1.259736077 3.351032164 38 150
sample150 1.265410494 3.769911184 38 150
sample151 1.230637042 3.769911184 41 150
sample152 1.301933776 1.963495408 20 160
sample153 1.219972977 2.35619449 20 160
